depth,mean_yrsBP,sd_age
1246.8,1011.26,89
1247.9,1012.87,89
1249.1,1014.47,88.84
1250.3,1016.08,88.31
1251.4,1017.91,88
1252.6,1020.05,88
1253.8,1021.89,87.7
1254.9,1023.49,87.17
1256.1,1025.47,87
1257.3,1027.61,87
1258.5,1029.31,86.56
1259.6,1030.91,86.03
1260.8,1033.02,86
1262,1035.12,85.96
1263.1,1036.73,85.42
1264.3,1038.33,85
1265.5,1039.94,85
1266.6,1041.54,84.82
1267.8,1043.14,84.29
1269,1044.75,84
1270.2,1046.35,84
1271.3,1048.28,84
1272.5,1050.42,84
1273.7,1052.17,83.61
1274.8,1053.77,83.08
1276,1055.84,82.54
1277.2,1057.97,82.01
1278.3,1059.59,82
1279.5,1061.19,81.94
1280.7,1062.79,81.4
1281.9,1064.53,81
1283,1066.67,81
1284.2,1068.61,80.8
1285.4,1070.21,80.26
1286.5,1071.82,80
1287.7,1073.42,80
1288.9,1075.37,79.66
1290,1077.51,79.12
1291.2,1079.24,78.59
1292.4,1080.84,78.05
1293.6,1082.44,78
1294.7,1084.07,77.98
1295.9,1086.2,77.45
1297.1,1088.26,76.91
1298.2,1089.86,76.38
1299.4,1091.47,76
1300.6,1093.07,76
1301.7,1094.68,75.77
1302.9,1096.28,75.24
1304.1,1097.89,74.7
1305.3,1099.49,74.17
1306.4,1101.46,74
1307.6,1103.6,74
1308.8,1105.3,73.57
1309.9,1106.91,73.03
1311.1,1109.02,72.5
1312.3,1111.12,71.96
1313.4,1112.72,71.43
1314.6,1114.33,71
1315.8,1115.93,71
1317,1117.71,70.82
1318.1,1119.85,70.29
1319.3,1121.74,69.75
1320.5,1123.35,69.22
1321.6,1124.95,68.68
1322.8,1126.56,68.15
1324,1128.55,67.61
1325.1,1130.69,67.08
1326.3,1132.37,66.54
1327.5,1133.98,66.01
1328.7,1135.58,65.47
1329.8,1137.25,64.94
1331,1139.39,64.4
1332.2,1141.39,63.87
1333.3,1143,63.33
1334.5,1144.6,63
1335.7,1146.21,63
1336.8,1148.08,62.73
1338,1150.22,62.19
1339.2,1152.02,61.66
1340.4,1153.63,61.12
1341.5,1155.23,60.18
1342.7,1156.83,59.11
1343.9,1158.92,58.52
1345,1161.04,57.99
1346.2,1162.65,57.45
1347.4,1164.25,56.92
1348.5,1165.86,56.38
1349.7,1167.62,55.85
1350.9,1169.76,55.31
1352.1,1171.67,54.78
1353.2,1173.28,54.24
1354.4,1174.88,53.41
1355.6,1176.48,52.34
1356.7,1178.09,51.64
1357.9,1179.69,51.1
1359.1,1181.73,50.57
1360.2,1183.87,50.03
1361.4,1185.51,49
1362.6,1187.11,47.96
1363.8,1188.72,47.43
1364.9,1190.32,46.79
1366.1,1191.93,45.72
1367.3,1193.71,44.82
1368.4,1195.85,44.29
1369.6,1197.74,43.51
1370.8,1199.34,42.44
1371.9,1201.26,41.37
1373.1,1203.4,40.3
1374.3,1205.16,39.23
1375.5,1206.76,38.16
1376.6,1208.37,37.09
1377.8,1209.97,36.02
1379,1212.1,34.95
1380.2,1214.18,33.94
1381.5,1215.78,33.41
1382.8,1217.39,32.87
1384.2,1218.99,32.34
1385.5,1220.6,31.8
1386.8,1222.2,31.27
1388.2,1223.81,30.73
1389.5,1225.41,30.2
1390.6,1229.39,35.08
1391.6,1234.74,43.1
1392.6,1240.49,49.9
1393.6,1246.38,56.32
1394.6,1252.26,61.3
1395.6,1258.16,66.12
1396.7,1264.57,70.93
1397.7,1270.83,75.41
1398.7,1276.18,78.09
1399.7,1281.52,80.76
1400.7,1286.87,83.44
1401.7,1292.22,86.11
1402.7,1297.57,88.78
1403.7,1303.21,91.46
1404.7,1309.09,94.13
1405.7,1314.98,96.08
1406.7,1320.86,97.69
1407.7,1326.74,99.29
1408.7,1332.63,100.9
1409.7,1338.01,102
1410.7,1343.39,103.07
1411.7,1349.28,104.14
1412.7,1355.16,105.21
1413.7,1361.04,106.28
1414.7,1366.93,107.18
1415.7,1372.81,107.71
1416.7,1378.45,108.24
1417.7,1383.8,108.78
1418.7,1389.46,109.31
1419.7,1395.34,109.85
1420.7,1401.61,110
1421.7,1408.03,110
1422.7,1413.99,110
1423.7,1419.88,110
1424.7,1425.24,109.48
1425.7,1430.58,109
1426.7,1435.93,109
1427.7,1441.41,108.74
1428.7,1447.29,107.67
1429.7,1452.98,106.8
1430.8,1458.33,106.27
1431.8,1463.67,105.47
1432.8,1469.02,104.4
1433.8,1474.71,103.33
1434.8,1480.59,102.26
1435.8,1486.07,100.78
1436.8,1491.42,99.18
1437.8,1496.76,97.57
1438.8,1502.12,95.95
1439.8,1508.01,93.82
1440.8,1513.89,91.68
1441.8,1519.77,89.54
1442.8,1525.51,87.25
1443.8,1530.86,84.57
1444.8,1536.64,81.46
1445.8,1543.06,77.71
1446.8,1549.19,73.97
1447.8,1555.07,70.23
1448.8,1560.6,66.48
1449.8,1565.95,62.74
1450.8,1568.29,62
1451.9,1569.89,62
1452.9,1571.5,62.5
1454,1573.14,63.03
1455,1575.28,63.57
1456.1,1577.31,64.1
1457.1,1578.92,64.64
1458.2,1580.52,65.17
1459.2,1582.12,65.71
1460.2,1583.73,66.24
1461.3,1585.33,66.78
1462.3,1586.94,67.31
1463.4,1588.54,67.85
1464.4,1590.15,68.38
1465.5,1591.75,68.92
1466.5,1593.81,69.45
1467.6,1595.95,69.99
1468.6,1597.57,70
1469.6,1599.17,70.06
1470.7,1600.77,70.59
1471.7,1602.38,71.13
1472.8,1603.98,71.66
1473.8,1605.59,72.2
1474.9,1607.19,72.73
1475.9,1608.8,73
1477,1610.4,73
1478,1612.34,73.34
1479.1,1614.48,73.87
1480.1,1616.22,74.41
1481.1,1617.82,74.94
1482.2,1619.42,75
1483.2,1621.03,75.01
1484.3,1622.63,75.54
1485.3,1624.24,76.08
1486.4,1625.84,76.61
1487.4,1627.6,77
1488.4,1629.74,77
1489.5,1631.44,77.22
1490.5,1632.51,77.75
1491.6,1634.15,78.29
1492.6,1636.29,78.82
1493.7,1638.07,79
1494.7,1639.68,79
1495.8,1641.28,79.43
1496.8,1642.89,79.96
1497.9,1644.49,80
1498.9,1646.1,80.03
1499.9,1647.7,80.57
1501,1649.31,81
1502,1650.91,81
1503.1,1652.69,81.17
1504.1,1654.83,81.71
1505.2,1656.48,82.24
1506.2,1657.55,82.78
1507.3,1658.93,83
1508.3,1660.54,83
1509.3,1662.52,83.38
1510.4,1664.66,83.92
1511.4,1666.35,84
1512.5,1667.96,84
1513.5,1669.56,84.52
1514.6,1671.17,85
1515.6,1672.77,85
1516.7,1674.37,85
1517.7,1675.98,85
1518.7,1677.58,85.19
1519.8,1679.19,85.73
1520.8,1680.79,86
1521.9,1682.4,86
1522.9,1684,86.33
1524,1685.61,86.87
1525,1687.61,87
1526.1,1689.75,87
1527.1,1691.42,87.47
1528.1,1693.02,88
1529.2,1694.63,88
1530.2,1696.23,88
1531.3,1697.84,88
1532.3,1699.44,88.15
1533.4,1701.05,88.68
1534.4,1702.65,89
1535.5,1704.26,89
1536.5,1705.86,89.29
1537.5,1707.46,89.82
1538.6,1709.43,90
1539.6,1711.57,90
1540.7,1713.28,90
1541.7,1714.88,90
1542.8,1716.49,90.5
1543.8,1718.09,91
1544.9,1719.7,91
1545.9,1721.4,91
1547,1723.54,91
1548,1725.51,91.17
1549,1727.11,91.7
1550.1,1728.72,92
1551.1,1730.32,92
1552.2,1731.93,92
1553.2,1733.53,92
1554.3,1735.14,92.38
1555.3,1736.74,92.91
1556.4,1738.35,93
1557.4,1739.95,93
1558.4,1741.56,93
1559.5,1743.16,93.05
1560.5,1744.76,93.59
1561.6,1746.49,94
1562.6,1748.63,94
1563.7,1750.58,94
1564.7,1752.18,94
1565.7,1753.52,94
1566.8,1754.59,94
1567.8,1756.33,94.33
1568.9,1758.47,94.87
1569.9,1760.21,95
1571,1761.81,95
1572,1763.41,95
1573.1,1765.02,95
1574.1,1766.62,95
1575.2,1768.3,95
1576.2,1770.44,95
1577.2,1772.44,95.15
1578.3,1774.04,95.68
1579.3,1775.65,96
1580.4,1777.25,96
1581.4,1778.86,96
1582.5,1780.46,96
1583.5,1782.06,96
1584.6,1783.67,96
1585.6,1785.27,96
1586.6,1786.88,96
1587.7,1788.48,96.49
1588.7,1790.09,97
1589.8,1791.69,97
1590.8,1793.3,97
1591.9,1794.9,97
1592.9,1796.51,97
1594,1798.11,97
1595,1799.95,97
1596,1802.09,97
1597.1,1803.92,97.31
1598.1,1805.53,97.84
1599.2,1807.13,98
1600.2,1808.74,98
1601.3,1810.34,98
1602.3,1811.95,98
1603.4,1813.55,98
1604.4,1815.16,98
1605.4,1816.76,98
1606.5,1818.36,98
1607.5,1819.97,98
1608.6,1821.57,98
1609.6,1823.18,98
1610.7,1825.04,98
1611.7,1827.18,98
1612.8,1828.99,98
1613.8,1830.6,98
1614.8,1832.2,98
1615.9,1833.8,98
1616.9,1835.41,98
1618,1837.01,98
1619,1838.62,98.54
1620.1,1840.3,99
1621.1,1842.44,99
1622.2,1844.43,99
1623.2,1846.04,99
1624.3,1847.64,99
1625.3,1849.25,99
1626.3,1850.85,99
1627.4,1852.45,99
1628.4,1854.06,99
1629.5,1855.66,99
1630.5,1857.27,99
1631.6,1858.87,99
1632.6,1860.48,99
1633.6,1862.08,99
1634.7,1863.69,99
1635.7,1865.29,99
1636.8,1866.9,99
1637.8,1868.67,99
1638.9,1870.81,99
1639.9,1872.71,99
1641,1874.31,99
1642,1875.92,99
1643.1,1877.52,99
1644.1,1879.13,99
1645.1,1880.73,99
1646.2,1882.34,99
1647.2,1883.94,99
1648.3,1885.55,99
1649.3,1887.2,99
1650.4,1889.34,99
1651.4,1891.36,99
1652.5,1892.96,99
1653.5,1894.57,99
1654.5,1896.17,99
1655.6,1897.78,99
1656.6,1899.38,99
1657.7,1900.99,99
1658.7,1902.59,99
1659.8,1904.2,99
1660.8,1905.8,99
1661.9,1907.4,98.53
1662.9,1909.01,98
1663.9,1910.61,98
1665,1912.29,98
1666,1914.43,98
1667.1,1916.43,98
1668.1,1918.03,98
1669.2,1919.64,98
1670.2,1921.24,98
1671.3,1922.85,98
1672.3,1924.45,98
1673.4,1926.05,98
1674.4,1927.66,98
1675.4,1929.26,98
1676.5,1930.87,98
1677.5,1932.47,98
1678.6,1934.08,98
1679.6,1935.68,98
1680.7,1937.38,97.9
1681.7,1939.52,97.37
1682.7,1941.5,97
1683.8,1943.1,97
1684.8,1944.7,97
1685.9,1946.31,97
1686.9,1947.91,97
1688,1949.52,97
1689,1951.12,97
1690.1,1952.73,97
1691.1,1954.33,97
1692.2,1955.94,97
1693.2,1957.54,97
1694.2,1959.15,96.95
1695.3,1960.75,96.42
1696.3,1962.35,96
1697.4,1963.96,96
1698.4,1965.75,96
1699.5,1967.89,96
1700.6,1970.03,96
1702,1972.17,96
1703.3,1974.31,95.67
1704.7,1976.45,95.14
1706,1978.59,95
1707.3,1980.73,95
1708.7,1982.87,95
1710,1985.01,95
1711.3,1987.14,95
1712.7,1989.28,94.93
1714,1991.42,94.39
1715.4,1993.56,94
1716.7,1995.7,94
1718,1997.84,94
1719.4,1999.98,94
1720.7,2002.12,93.72
1722,2004.26,93.19
1723.4,2006.05,93
1724.7,2007.65,93
1726.1,2009.68,93
1727.4,2011.82,93
1728.7,2013.47,93
1730.1,2015.12,92.98
1731.4,2017.79,92.44
1732.7,2020.37,92
1734.1,2022.51,92
1735.4,2024.82,91.84
1736.8,2027.49,91.3
1738.1,2029.93,91
1739.4,2032.07,91
1740.8,2034.21,90.7
1742.1,2036.35,90.16
1743.4,2038.49,90
1744.8,2040.63,90
1746.1,2042.77,89.56
1747.4,2044.91,89.02
1748.8,2047.05,89
1750.1,2049.19,88.95
1751.5,2051.33,88.42
1752.8,2053.47,88
1754.1,2055.6,88
1755.5,2057.74,87.81
1756.8,2059.88,87.28
1758.1,2062.02,87
1759.5,2064.16,87
1760.8,2066.3,86.67
1762.2,2068.44,86.14
1763.5,2070.58,85.6
1764.8,2072.72,85.07
1766.2,2074.86,85
1767.5,2077,85
1768.8,2079.14,84.47
1770.2,2081.28,84
1771.5,2083.42,84
1772.9,2085.56,83.86
1774.2,2087.7,83.33
1775.5,2089.83,82.79
1776.9,2091.97,82.26
1778.2,2094.11,82
1779.5,2096.25,82
1780.9,2098.39,81.65
1782.2,2100.53,81.12
1783.5,2102.67,80.58
1784.9,2104.81,80.05
1786.2,2106.95,79.51
1787.6,2109.09,79
1788.9,2111.23,79
1790.2,2113.37,78.91
1791.6,2115.51,78.37
1792.9,2117.65,77.84
1794.2,2119.79,77.3
1795.6,2121.93,76.77
1796.9,2124.07,76.23
1798.3,2126.2,75.7
1799.6,2128.34,75.16
1800.9,2130.48,74.63
1802.3,2132.62,74.09
1803.6,2135.2,73.56
1804.9,2137.88,73.02
1806.3,2139.53,73
1807.6,2141.23,72.95
1809,2143.9,72.42
1810.3,2146.34,71.89
1811.6,2147.95,71.35
1813,2149.74,70.82
1814.3,2151.88,70.28
1815.6,2154.02,69.75
1817,2156.16,69.21
1818.3,2158.62,68.68
1819.7,2161.29,68.14
1821,2163.57,67.21
1822.3,2165.71,66.14
1823.7,2167.39,65.54
1825,2168.99,65
1826.3,2171.13,64.47
1827.7,2173.34,63.93
1829,2176.01,63.4
1830.3,2178.55,62.86
1831.7,2180.69,62.33
1833,2182.83,61.59
1834.4,2184.97,60.52
1835.7,2187.11,59.72
1837,2189.25,59.19
1838.4,2191.39,58.65
1839.7,2193.53,58.12
1841,2195.66,57.17
1842.4,2197.8,56.1
1843.7,2199.94,55.51
1845.1,2202.08,54.96
1846.4,2204.22,53.89
1847.7,2206.36,52.82
1849.1,2208.5,51.75
1850.4,2210.64,50.84
1851.7,2212.78,50.31
1853.1,2214.92,49.54
1854.4,2217.06,48.47
1855.8,2219.2,47.4
1857.1,2221.34,46.33
1858.4,2223.48,45.26
1859.8,2225.62,44.19
1860.8,2226.88,44
1861.8,2227.95,44
1862.8,2228.51,44
1863.8,2229.09,43.96
1864.8,2230.16,43.42
1865.8,2231.11,43
1866.8,2231.65,43
1867.8,2232.37,43
1868.9,2233.44,43
1869.9,2234.5,43
1870.9,2235.57,43
1871.9,2236.32,42.68
1872.9,2236.86,42.14
1873.9,2237.78,42
1874.9,2238.85,42
1875.9,2239.92,42
1876.9,2240.99,42
1877.9,2241.53,41.47
1878.9,2242.13,41
1879.9,2243.2,41
1880.9,2244.27,41
1881.9,2245.34,41
1882.9,2246.21,41
1883.9,2246.74,41
1884.9,2247.55,40.72
1885.9,2248.62,40.19
1886.9,2249.69,40
1887.9,2250.76,40
1888.9,2251.41,40
1889.9,2251.95,40
1890.8,2258.29,52.1
1891.8,2265.23,65.38
1892.7,2271.65,76.08
1893.6,2278.33,86.51
1894.5,2286.35,95.6
1895.4,2294.06,104.38
1896.4,2301.01,112.4
1897.3,2307.96,119.51
1898.2,2314.92,125.39
1899.1,2321.87,131.57
1900,2328.82,137.99
1900.9,2335.78,144.04
1901.9,2342.73,149.93
1902.8,2350.12,155.37
1903.7,2357.61,160.72
1904.6,2364.59,165.05
1905.5,2371.5,169.33
1906.5,2377.92,173.61
1907.4,2384.45,177.89
1908.3,2391.4,182.17
1909.2,2398.35,186.63
1910.1,2405.31,191.44
1911.1,2412.51,195.76
1912,2420,199.5
1912.9,2427.49,203.56
1913.8,2434.97,207.84
1914.7,2442.46,211.73
1915.7,2449.95,215.47
1916.6,2456.98,218.76
1917.5,2463.93,221.97
1918.4,2470.88,225.18
1919.3,2477.77,228.39
1920.3,2484.19,231.6
1921.2,2490.88,234.8
1922.1,2498.36,238.01
1923,2505.65,241.22
1923.9,2512.6,244.43
1924.8,2519.28,247.37
1925.8,2525.7,250.04
1926.7,2532.46,252.72
1927.6,2539.41,255.39
1928.5,2546.78,258.06
1929.4,2554.27,260.74
1930.4,2561.75,263.89
1931.3,2569.24,267.09
1932.2,2576.73,269.76
1933.1,2584.13,272.35
1934,2591.08,274.49
1935,2598.04,276.78
1935.9,2604.99,279.46
1936.8,2612.17,282.13
1937.7,2619.66,284.81
1938.6,2626.85,287.18
1939.6,2633.8,289.32
1940.5,2640.39,291.46
1941.4,2646.81,293.6
1942.3,2653.66,295.74
1943.2,2660.61,297.88
1944.2,2668.07,300.53
1945.1,2675.56,303.16
1946,2683.05,305.3
1946.9,2690.54,307.44
1947.8,2698.02,309.58
1948.8,2705.69,311.9
1949.7,2713.71,314.57
1950.6,2721.24,317
1951.5,2728.19,319.14
1952.4,2735.14,320.96
1953.3,2742.1,322.56
1954.3,2749.05,324.55
1955.2,2756,326.69
1956.1,2762.96,328.37
1957,2769.91,329.98
1957.9,2776.86,332.11
1958.9,2783.81,334.19
1959.8,2790.77,335.79
1960.7,2797.46,337.4
1961.6,2803.34,339
1962.5,2809.63,340.61
1963.5,2816.58,342.21
1964.4,2823.8,343.82
1965.3,2831.29,345.42
1966.2,2838.44,347.02
1967.1,2845.39,348.63
1968.1,2852.34,350.64
1969,2859.3,352.78
1969.9,2866.25,353.96
1970.8,2873.22,355.06
1971.7,2880.71,357.2
1972.7,2888.11,359.17
1973.6,2895.06,360.24
1974.5,2901.86,361.47
1975.4,2908.28,363.07
1976.3,2914.92,364.67
1977.3,2921.87,366.28
1978.2,2928.83,367.88
1979.1,2935.78,369.49
1980,2942.73,371.09
1980.9,2949.69,372.7
1981.8,2956.64,374.3
1982.8,2963.59,375.91
1983.7,2971.55,377.01
1984.6,2979.5,378.12
1985.5,2986.45,379.72
1986.4,2993.4,381.22
1987.4,3000.36,382.29
1988.3,3007.49,383.53
1989.2,3014.98,385.14
1990.1,3022.22,386.49
1991,3029.17,387.56
1992,3036.12,388.95
1992.9,3043.08,390.56
1993.8,3050.42,391.77
1994.7,3057.9,392.84
1995.6,3065.39,394.37
1996.6,3072.88,395.97
1997.5,3079.31,397.05
1998.4,3085.79,398.18
1999.3,3092.75,399.79
2000.2,3099.44,401.13
2001,3105.32,401.67
2001.9,3111.2,402.4
2002.7,3117.09,403.47
2003.5,3123.24,404.54
2004.4,3129.66,405.61
2005.2,3136.42,406.68
2006.1,3143.37,407.75
2006.9,3150.32,408.82
2007.7,3157.28,409.89
2008.6,3164.23,410.96
2009.4,3171.17,412.03
2010.2,3177.59,413.1
2011.1,3183.92,414.17
2011.9,3189.8,415.24
2012.7,3195.69,416.15
2013.6,3201.57,416.69
2014.4,3207.68,417.45
2015.2,3214.1,418.52
2016.1,3220.51,419.59
2016.9,3226.93,420.66
2017.8,3233.35,421.72
2018.6,3239.77,422.79
2019.4,3246.19,423.43
2020.3,3252.6,423.97
2021.1,3259.02,425
2021.9,3265.48,426.07
2022.8,3272.43,427.14
2023.6,3279.28,428.21
2024.4,3285.69,429.28
2025.3,3291.94,430.18
2026.1,3297.82,430.71
2027,3303.7,431.25
2027.8,3309.59,431.78
2028.6,3316.1,432.32
2029.5,3323.05,432.85
2030.3,3329.24,433.77
2031.1,3335.12,434.84
2032,3341.91,435.45
2032.8,3348.87,435.99
2033.6,3355.29,437.05
2034.5,3361.71,438.06
2035.3,3368.13,438.59
2036.1,3374.55,439.26
2037,3380.97,440.33
2037.8,3387.19,441.2
2038.6,3393.07,441.73
2039.5,3398.95,442.27
2040.3,3404.84,442.8
2041.2,3410.72,443.68
2042,3416.6,444.75
2042.8,3422.89,445.41
2043.7,3429.31,445.94
2044.5,3437.16,446.95
2045.3,3445.15,448.01
2046.2,3451.57,448.55
2047,3458.07,449.08
2047.8,3465.02,449.62
2048.7,3471.82,450.3
2049.5,3478.24,451.37
2050.4,3484.66,452
2051.2,3491.08,452
2052,3497.78,452.58
2052.9,3504.74,453.65
2053.7,3511.69,454.36
2054.5,3518.64,454.9
2055.4,3525.17,455.43
2056.2,3531.58,455.97
2057,3537.5,456.5
2057.9,3543.42,457.04
2058.7,3549.84,457.57
2059.5,3556.36,458.1
2060.4,3563.31,458.64
2061.2,3570.09,459.35
2062.1,3576.51,460.42
2062.9,3582.93,461
2063.7,3589.35,461
2064.6,3595.77,461.31
2065.4,3602.18,461.85
2066.2,3608.22,462.38
2067.1,3614.1,462.92
2067.9,3620.44,463.45
2068.7,3626.86,463.99
2069.6,3632.75,464.52
2070.4,3638.63,465.06
2071.2,3644.52,465.59
2072.1,3650.53,466
2072.9,3656.95,466
2073.8,3663.56,466.39
2074.6,3670.51,467.46
2075.4,3677.2,468
2076.3,3683.62,468
2077.1,3690.04,468.34
2077.9,3696.46,468.87
2078.8,3703.28,469.41
2079.6,3710.23,469.94
2080.4,3716.71,470.48
2081.3,3723.14,471.01
2082.1,3730.09,471.55
2082.9,3736.88,472
2083.8,3742.77,472
2084.6,3748.8,472.15
2085.5,3755.22,472.68
2086.3,3761.42,473.22
2087.1,3767.3,473.75
2088,3773.47,474
2088.8,3779.89,474
2089.6,3786.31,474.36
2090.5,3792.73,474.89
2091.3,3798.72,475.43
2092.1,3804.6,475.96
2093,3811.48,476
2093.8,3818.43,476.03
2094.6,3825.39,476.57
2095.5,3832.24,477
2096.3,3838.65,477
2097.1,3845.07,477.17
2098,3851.49,477.71
2098.8,3857.67,478.24
2099.7,3863.55,478.78
2100.5,3869.75,479
2101.3,3876.16,479
2102.2,3882.58,479.38
2103,3889,479.92
2103.8,3895.42,480
2104.7,3901.84,480
2105.5,3907.73,480.52
2106.3,3913.73,481
2107.2,3920.68,481
2108,3927.38,481.13
2108.9,3933.27,481.66
2109.7,3939.34,482
2110.5,3945.76,482
2111.4,3952.45,482
2112.2,3959.4,482
2113,3966.35,482.33
2113.9,3973.31,482.87
2114.7,3979.85,483
2115.5,3986.27,483
2116.4,3993.64,483
2117.2,4001.11,483.01
2118,4007.53,483.54
2118.9,4013.94,484
2119.7,4020.36,484
2120.5,4026.78,484
2121.4,4033.2,484
2122.2,4039.18,484
2123.1,4044.53,484
2123.9,4050.17,484.29
2124.7,4056.05,484.82
2125.6,4062.29,485
2126.4,4068.71,485
2127.2,4075.13,485
2128.1,4081.54,485
2128.9,4088.46,485
2129.7,4095.38,485.03
2130.6,4101.8,485.57
2131.4,4108.12,485.9
2132.2,4114,485.36
2133.1,4119.88,485.17
2133.9,4125.76,485.71
2134.8,4132.13,486
2135.6,4139.08,486
2136.4,4145.73,486
2137.3,4152.14,486
2138.1,4158.56,486
2138.9,4164.98,486
2139.8,4170.95,486
2140.6,4176.83,486
2141.4,4183.23,486
2142.3,4189.65,486
2143.1,4196.07,486
2143.9,4202.49,486
2144.8,4208.91,486
2145.6,4215.32,486
2146.5,4221.74,486
2147.3,4228.42,486
2148.1,4235.38,486
2149,4242,486
2149.8,4248.42,486
2150.6,4254.03,486
2151.5,4259.38,486
2152.3,4265.67,486
2153.1,4272.08,486
2154,4277.96,486
2154.8,4284,486
2155.6,4290.95,486
2156.5,4297.91,486
2157.3,4304.86,486
2158.2,4311.6,486
2159,4318.02,486
2159.8,4324.43,486
2160.7,4330.85,486
2161.5,4337.63,486
2162.3,4344.58,486
2163.2,4351.11,485.57
2164,4357.52,485.04
2164.8,4363.94,485
2165.7,4370.36,485
2166.5,4376.78,485
2167.4,4383.3,485
2168.2,4390.25,485
2169,4397.03,484.83
2169.9,4403.45,484.3
2170.7,4409.87,484
2171.5,4416.29,484
2172.4,4422.71,484
2173.2,4429.12,484
2174,4435.16,484
2174.9,4441.05,484
2175.7,4446.93,483.55
2176.5,4452.81,483.02
2177.4,4459.73,483
2178.2,4466.63,482.95
2179.1,4473.05,482.41
2179.9,4479.35,482
2180.7,4485.23,482
2181.6,4491.3,481.81
2182.4,4497.72,481.27
2183.2,4504.14,481
2184.1,4510.56,481
2184.9,4516.98,481
2185.7,4523.4,481
2186.6,4529.81,480.6
2187.4,4536.23,480.06
2188.2,4542.65,480
2189.1,4549.07,479.99
2189.9,4555.49,479.46
2190.7,4561.83,478.92
2191.6,4567.71,478.39
2192.4,4573.74,478
2193.3,4580.16,478
2194.1,4586.58,477.79
2194.9,4593,477.25
2195.8,4599.41,477
2196.6,4605.83,477
2197.4,4612.6,476.65
2198.3,4619.56,476.11
2199.1,4626.51,476
2199.9,4633.46,476
2200.8,4639.92,475.51
2201.6,4646.34,474.97
2202.4,4652.76,474.44
2203.3,4659.18,474
2204.1,4665.59,474
2205,4672.01,473.83
2205.8,4678.43,473.3
2206.6,4684.85,472.76
2207.5,4691.27,472.23
2208.3,4697.69,472
2209.1,4704.1,472
2210,4710.52,471.62
2210.8,4716.94,471.09
2211.6,4723.36,470.55
2212.5,4729.78,470.02
2213.3,4736.19,469.48
2214.1,4742.56,469
2215,4748.44,469
2215.8,4754.57,468.88
2216.7,4761.52,468.34
2217.5,4768.09,467.81
2218.3,4773.98,467.27
2219.2,4780.38,466.74
2220,4787.33,466.21
2220.8,4793.96,465.67
2221.7,4800.38,465.14
2222.5,4806.79,464.6
2223.3,4813.21,464.07
2224.2,4819.63,464
2225,4826.04,464
2225.8,4831.93,463.46
2226.7,4837.81,462.93
2227.5,4843.69,462.39
2228.4,4849.72,461.71
2229.2,4856.14,460.64
2230,4862.98,459.79
2230.9,4870.47,459.25
2231.7,4877.11,458.72
2232.5,4882.99,458.18
2233.4,4889.58,457.65
2234.2,4896.53,457.11
2235,4903.07,456.58
2235.9,4909.48,456.04
2236.7,4915.9,455.51
2237.5,4922.32,454.97
2238.4,4928.74,454.44
2239.2,4935.16,453.81
2240.1,4941.57,452.74
2240.9,4948.32,451.83
2241.7,4955.81,451.3
2242.6,4963.06,450.76
2243.4,4970.02,450.23
2244.2,4976.36,449.39
2245.1,4982.24,448.32
2245.9,4988.5,447.62
2246.7,4994.92,447.09
2247.6,5001.34,446.56
2248.4,5007.76,446.02
2249.2,5013.15,445.49
2250.1,5018.64,444.9
2250.9,5025.59,443.83
2251.8,5032.55,442.88
2252.6,5039.5,442.35
2253.4,5046.08,441.81
2254.3,5051.96,441.28
2255.1,5058.36,440.48
2255.9,5065.31,439.41
2256.8,5072.27,438.67
2257.6,5079.22,438.14
2258.4,5085.38,437.2
2259.3,5091.26,436.13
2260.1,5097.61,435.53
2260.9,5104.03,435
2261.8,5109.91,434.46
2262.6,5115.79,433.86
2263.5,5121.68,432.79
2264.3,5127.7,431.72
2265.1,5134.12,430.65
2266,5140.54,429.79
2266.8,5146.95,429.25
2267.6,5153.65,428.44
2268.5,5160.61,427.37
2269.3,5167.21,426.3
2270.1,5173.63,425.23
2271,5180.05,424.58
2271.8,5186.46,424.04
2272.6,5192.88,423.02
2273.5,5199.28,421.97
2274.3,5205.16,421.44
2275.2,5211.14,420.81
2276,5217.55,419.74
2276.8,5223.81,418.67
2277.7,5229.69,417.6
2278.5,5236.04,416.53
2279.3,5243,415.46
2280.2,5249.95,414.39
2281,5256.9,413.32
2281.8,5263.48,412.25
2282.7,5269.9,411.18
2283.5,5276.32,410.56
2284.3,5282.74,410.02
2285.2,5288.64,409.49
2286,5294.57,408.95
2286.9,5300.99,408.42
2287.7,5307.41,407.88
2288.5,5313.83,407.35
2289.4,5320.62,406.44
2290.2,5328.11,404.83
2291,5335.08,403.23
2291.9,5341.5,401.63
2292.7,5348.24,400.35
2293.5,5355.2,399.28
2294.4,5361.36,398.21
2295.2,5367.24,397.14
2296,5373.59,395.6
2296.9,5380.01,394
2297.7,5385.89,392.93
2298.6,5391.77,391.86
2299.4,5397.66,390.79
2300.2,5403.68,389.72
2301.1,5410.1,388.65
2301.9,5416.52,387.58
2302.7,5422.93,386.51
2303.6,5429.35,385.44
2304.4,5435.77,384.37
2305.2,5442.19,383.3
2306.1,5448.61,382.23
2306.9,5455.03,380.74
2307.7,5461.44,379.14
2308.6,5467.37,378.02
2309.4,5473.3,376.93
2310.3,5480.26,375.33
2311.1,5487.12,373.81
2311.9,5493.53,372.74
2312.8,5499.95,371.51
2313.6,5506.37,369.91
2314.4,5512.56,368.3
