depth,mean_yrsBP,sd_age
275.8,101.45,47
276.7,101.99,47
277.6,102.52,47
278.5,103.06,47
279.5,103.59,47
280.4,104.13,47
281.3,104.66,47
282.2,105.2,47.2
283.1,105.73,47.73
284.1,106.27,48
285,106.8,48
285.9,107.34,48
286.8,107.87,48
287.7,108.41,48
288.7,108.94,48
289.6,109.48,48
290.5,110.01,48
291.4,110.55,48
292.3,111.08,48
293.3,111.62,48
294.2,112.15,48
295.1,112.69,48
296,113.22,48
296.9,113.75,48
297.8,114.29,48
298.8,114.82,48
299.7,115.36,48
300.6,115.89,48
301.5,116.43,48
302.4,116.96,48
303.4,117.5,48
304.3,118.03,48.03
305.2,118.57,48.57
306.1,119.1,49
307,119.64,49
308,120.17,49
308.9,120.71,49
309.8,121.24,49
310.7,121.78,49
311.6,122.31,49
312.6,122.85,49
313.5,123.38,49
314.4,123.92,49
315.3,124.45,49
316.2,124.99,49
317.2,125.52,49
318.1,126.06,49
319,126.59,49
319.9,127.13,49
320.8,127.66,49
321.7,128.2,49
322.7,128.73,49
323.6,129.27,49
324.5,129.8,49
325.4,130.34,49
326.3,130.87,49
327.3,131.4,49
328.2,131.94,49
329.1,132.47,49.47
330,133.01,50
330.9,133.54,50
331.9,134.08,50
332.8,134.61,50
333.7,135.15,50
334.6,135.68,50
335.5,136.22,50
336.5,136.75,50
337.4,137.29,50
338.3,137.82,50
339.2,138.36,50
340.1,138.89,50
341.1,139.43,50
342,139.96,50
342.9,140.5,50
343.8,141.03,50
344.7,141.57,50
345.6,142.1,50
346.6,142.64,50
347.5,143.17,50
348.4,143.71,50
349.3,144.24,50
350.2,144.78,50
351.2,145.31,50
352.1,145.85,50
353,146.38,50
353.9,146.92,50
354.8,147.45,50
355.8,147.98,50
356.7,148.52,50.52
357.6,149.05,51
358.5,149.59,51
359.4,150.12,51
360.4,150.66,51
361.3,151.39,51
362.2,152.46,51
363.1,153.26,51
364,153.8,51
365,154.33,51
365.9,154.87,51
366.8,155.4,51
367.7,155.94,51
368.6,156,51
369.5,156.01,51
370.5,156.54,51
371.4,157.08,51
372.3,157.61,51
373.2,158.15,51
374.1,158.68,51
375.1,159.22,51
376,159.75,51
376.9,160.29,51
377.8,160.82,51
378.7,161.36,51
379.7,161.89,51
380.6,162.43,51
381.5,162.96,51
382.4,163.5,51
383.3,164.03,51
384.3,164.57,51
385.2,165.1,51
386.1,165.63,51
387,166.17,51
387.9,166.7,51
388.9,167.24,51
389.8,167.77,51
390.7,168.31,51
391.6,168.84,51
392.5,169.38,51
393.5,169.91,51
394.4,170.45,51
395.3,170.98,51
396.2,171.52,51.52
397.1,172.05,52
398,172.59,52
399,173.12,52
399.9,173.66,52
400.8,174.38,52
401.7,175.45,52
402.6,176.26,52
403.6,176.8,52
404.5,177.33,52
405.4,177.87,52
406.3,178,52
407.2,178,52
408.2,178.47,52
409.1,179.01,52
410,179.54,52
410.9,180.08,52
411.8,180.61,52
412.8,181.15,52
413.7,181.68,52
414.6,182.43,52
415.5,183.5,52
416.4,184.28,52
417.4,184.82,52
418.3,185.35,52
419.2,185.89,52
420.1,186.42,52
421,186.96,52
421.9,187.49,52
422.9,188.03,52
423.8,188.56,52
424.7,189.1,52
425.6,189.63,52
426.5,190.17,52
427.5,190.7,52
428.4,191.24,52
429.3,191.77,52
430.2,192.31,52
431.1,192.84,52
432.1,193.38,52
433,193.91,52
433.9,194.45,52
434.8,194.98,52
435.7,195.52,52
436.7,196.05,52
437.6,196.59,52
438.5,197.12,52
439.4,197.66,52
440.3,198.19,52
441.3,198.73,52
442.2,199.26,52
443.1,199.8,52
444,200.33,52
444.9,200.86,52
445.8,201.4,52
446.8,201.93,52
447.7,202.47,52
448.6,203,52
449.5,203.54,52
450.4,204.07,52
451.4,204.61,52
452.3,205.14,52
453.2,205.68,52
454.1,206.21,52
455,206.75,52
456,207.28,52
456.9,207.82,52
457.8,208.35,52
458.7,208.89,52
459.6,209.42,52.42
460.6,209.96,52.96
461.5,210.49,53
462.4,211.03,53
463.3,211.56,53
464.2,212.1,53
465.2,212.63,53
466.1,213.17,53
467,213.7,53
467.9,214.24,53
468.8,214.77,53
469.7,215.31,53
470.7,215.84,53
471.6,216.38,53
472.5,216.91,53
473.4,217.45,53
474.3,217.98,53
475.3,218.51,53
476.2,219.05,53
477.1,219.58,53
478,220.12,53
478.9,220.65,53
479.9,221.19,53
480.8,221.72,53
481.7,222.26,53
482.6,222.79,53
483.5,223.33,53
484.5,223.86,53
485.4,224.4,53
486.3,224.93,53
487.2,225.47,53
488.1,226,53
489.1,226.54,53
490,227.07,53
490.9,227.61,53
491.8,228.14,53
492.7,228.68,53
493.6,229.21,53
494.6,229.75,53
495.5,230.28,53
496.4,230.82,53
497.3,231.35,53
498.2,231.89,53
499.2,232.42,53
500.1,232.96,53
501,233.49,53
501.9,234.03,53
502.8,234.56,53
503.8,235.1,53
504.7,235.63,53
505.6,236.16,53
506.5,236.7,53
507.4,237.23,53
508.4,237.77,53
509.3,238.3,53
510.2,238.84,53
511.1,239.37,53
512,239.91,53
513,240.44,53
513.9,240.98,53
514.8,241.51,53
515.7,242.05,53
516.6,242.58,53
517.6,243.12,53
518.5,243.65,53
519.4,244.19,53
520.3,244.72,53
521.2,245.26,53
522.1,245.79,53
523.1,246.33,53
524,246.86,53
524.9,247.4,53
525.8,247.93,53
526.7,248.47,53
527.7,249,53
528.6,249.54,53
529.5,250.07,53
530.4,250.61,53
531.3,251.14,53
532.3,251.68,53
533.2,252.21,53
534.1,252.74,53
535,253.28,53
535.9,253.81,53
536.9,254.35,52.65
537.8,254.88,52.12
538.7,255.42,52
539.6,255.95,52
540.5,256.49,52
541.5,257.02,52
542.4,257.56,52
543.3,258.09,52
544.2,258.63,52
545.1,259.16,52
546,259.7,52
547,260.23,52
547.9,260.77,52
548.8,261.3,52
549.7,261.84,52
550.6,262.37,52
551.6,262.91,52
552.5,263.44,52
553.4,263.98,52
554.3,264.51,52
555.2,265.05,52
556.2,265.58,52
557.1,266.12,52
558,266.65,52
558.9,267.19,52
559.8,267.72,52
560.8,268.26,52
561.7,268.79,52
562.6,269.33,52
563.5,269.86,52
564.4,270.39,52
565.4,270.93,52
566.3,271.46,52
567.2,272,52
568.1,272.53,52
569,273.07,52
569.9,273.6,52
570.9,274.14,52
571.8,274.67,52
572.7,275.21,52
573.6,275.74,52
574.5,276.28,52
575.5,276.81,52
576.4,277.35,52
577.3,277.88,52
578.2,278.42,52
579.1,278.95,52
580.1,279.49,52
581,280.02,52
581.9,280.56,52
582.8,281.09,52
583.7,281.63,52
584.7,282.16,52
585.6,282.7,52
586.5,283.23,52
587.4,283.77,52
588.3,284.3,52
589.3,284.84,52
590.2,285.37,52
591.1,285.91,52
592,286.44,52
592.9,286.97,52
593.9,287.51,52
594.8,288.04,52
595.7,288.58,52
596.6,289.11,52
597.5,289.65,52
598.4,290.18,52
599.4,290.72,52
600.3,291.25,52
601.2,291.79,52
602.1,292.32,52
603,292.86,52
604,293.39,52
604.9,293.93,52
605.8,294.46,51.54
606.7,295,51
607.6,295.53,51
608.6,296.07,51
609.5,296.6,51
610.4,297.14,51
611.3,297.67,51
612.2,298.21,51
613.2,298.74,51
614.1,299.28,51
615,299.81,51
615.9,300.35,51
616.8,300.88,51
617.8,301.42,51
618.7,301.95,51
619.6,302.49,51
620.5,303.02,51
621.4,303.56,51
622.3,304.09,51
623.3,304.62,51
624.2,305.16,51
625.1,305.69,51
626,306.23,51
626.9,306.76,51
627.9,307.3,51
628.8,307.83,51
629.7,308.37,51
630.6,308.9,51
631.5,309.44,51
632.5,309.97,51
633.4,310.51,51
634.3,311.04,51
635.2,311.58,51
636.1,312.11,51
637.1,312.65,51
638,313.18,51
638.9,313.72,51
639.8,314.25,51
640.7,314.79,51
641.7,315.32,51
642.6,315.86,51
643.5,316.39,50.61
644.4,316.93,50.07
645.3,317.46,50
646.2,318,50
647.2,318.53,50
648.1,319.07,50
649,319.6,50
649.9,320.14,50
650.8,320.67,50
651.8,321.21,50
652.7,321.74,50
653.6,322.27,50
654.5,322.81,50
655.4,323.34,50
656.4,323.88,50
657.3,324.41,50
658.2,324.95,50
659.1,325.48,50
660,326.02,50
661,326.55,50
661.9,327.09,50
662.8,327.62,50
663.7,328.16,50
664.6,328.69,50
665.6,329.23,50
666.5,329.76,50
667.4,330.3,50
668.3,330.83,50
669.2,331.37,50
670.1,331.9,50
671.1,332.44,49.56
672,332.97,49.03
672.9,333.51,49
673.8,334.04,49
674.7,334.58,49
675.7,335.11,49
676.6,335.65,49
677.5,336.18,49
678.4,336.72,49
679.3,337.25,49
680.3,337.79,49
681.2,338.32,49
682.1,338.85,49
683,339.39,49
683.9,339.92,49
684.9,340.46,49
685.8,340.99,49
686.7,341.53,49
